onset,duration,label,start_x,start_y,end_x,end_y,amp,peak_vel,med_vel,avg_vel,trial,block,session,subject
0.0,0.042,PURS,956.7,524.9,954.3,526.0,0.076,4.75,3.2239999999999998,3.013,6,1,1,AA
0.042,0.047,FIXA,954.4,526.1,955.6,525.2,0.044000000000000004,18.105999999999998,4.308,5.49,6,1,1,AA
0.08900000000000001,0.064,SACC,955.2,525.3,604.8,621.7,10.574000000000002,565.43,74.354,187.972,6,1,1,AA
0.153,0.016,LPSO,604.8,622.0,613.9,623.0,0.266,24.205,18.614,17.987000000000005,6,1,1,AA
0.16899999999999998,0.151,PURS,614.1,622.9,609.6,625.7,0.155,13.193,5.138999999999999,5.6720000000000015,6,1,1,AA
0.32,0.047,SACC,609.8,625.9,621.2,755.7,3.793,296.607,57.722,109.164,6,1,1,AA
0.3670000000000001,0.016,HPSO,621.4,755.8,624.0,766.0,0.308,34.158,18.516,19.708,6,1,1,AA
0.38299999999999995,0.152,PURS,624.1,766.3,625.7,762.6,0.11699999999999999,12.565999999999999,2.799,3.287,6,1,1,AA
0.535,0.031,SACC,625.6,762.7,606.7,756.1,0.584,122.95700000000001,58.226000000000006,59.456,6,1,1,AA
0.5660000000000001,0.157,PURS,606.6,756.1,600.2,756.0,0.187,12.208,3.06,3.554,6,1,1,AA
0.723,0.425,FIXA,600.2,756.1,604.0,759.8,0.154,7.5379999999999985,2.414,2.6510000000000002,6,1,1,AA
1.148,0.23800000000000002,PURS,604.0,759.8,611.4,757.4,0.225,12.488,2.577,2.8,6,1,1,AA
1.386,0.073,SACC,611.6,757.5,1096.7,718.1,14.164000000000001,471.63199999999995,145.658,211.685,6,1,1,AA
1.459,0.011000000000000001,LPSO,1096.7,718.1,1094.1,718.5,0.076,13.065999999999999,7.992000000000001,7.074,6,1,1,AA
1.47,0.41600000000000004,PURS,1093.9,718.5,1104.6,704.2,0.521,9.665,3.042,3.237,6,1,1,AA
1.886,0.128,FIXA,1104.7,704.2,1109.4,704.1,0.138,8.449,2.925,3.341,6,1,1,AA
2.0140000000000002,0.276,PURS,1109.4,704.2,1112.4,705.1,0.091,8.402000000000001,3.0610000000000004,3.324,6,1,1,AA
0.0,0.12300000000000001,PURS,922.9,531.2,922.4,530.3,0.03,7.232,3.429,3.522,7,1,1,AA
0.12300000000000001,0.057999999999999996,SACC,922.6,530.3,580.7,548.8,9.964,513.351,153.46200000000005,201.72799999999998,7,1,1,AA
0.18100000000000002,0.032,HPSO,580.6,548.4,575.8,544.0,0.192,51.787,19.058,22.891,7,1,1,AA
0.213,0.52,FIXA,575.9,544.1,571.2,550.3,0.226,9.269,2.294,2.625,7,1,1,AA
0.733,0.034,SACC,570.9,550.3,599.4,569.3,0.9990000000000001,148.91,49.849,60.117,7,1,1,AA
