,0
0,nogo
1,nogo
2,nogo
3,go
4,go
5,nogo
6,go
7,nogo
8,nogo
9,go
10,go
11,go
12,nogo
13,go
14,nogo
15,nogo
16,go
17,nogo
18,go
19,go
20,go
21,go
22,nogo
23,go
24,go
25,nogo
26,go
27,go
28,go
29,go
30,nogo
31,nogo
32,nogo
33,go
34,go
35,go
36,go
37,nogo
38,nogo
39,go
40,nogo
41,go
42,nogo
43,go
44,go
45,nogo
46,nogo
47,nogo
48,go
49,nogo
50,nogo
51,go
52,go
53,go
54,nogo
55,go
56,nogo
57,nogo
58,go
59,nogo
60,go
61,go
62,go
63,nogo
64,nogo
65,go
66,go
67,nogo
68,go
69,nogo
70,go
71,nogo
72,nogo
73,nogo
74,go
75,go
76,go
77,go
78,nogo
79,go
80,go
81,nogo
82,go
83,go
84,go
85,go
86,go
87,go
88,nogo
89,nogo
90,go
91,go
92,nogo
93,nogo
94,go
95,go
96,go
97,nogo
98,nogo
99,go
100,go
101,go
102,nogo
103,go
104,nogo
105,go
106,nogo
107,go
108,go
109,nogo
110,go
111,go
112,go
113,nogo
114,nogo
115,go
116,go
117,go
118,go
119,go
120,go
121,nogo
122,go
123,nogo
124,nogo
125,nogo
126,go
127,go
128,go
129,nogo
130,go
131,go
132,go
133,nogo
134,go
135,go
136,go
137,go
138,nogo
139,go
140,nogo
141,nogo
142,go
143,nogo
144,go
145,nogo
146,nogo
147,nogo
148,nogo
149,nogo
150,nogo
151,nogo
152,nogo
153,go
154,go
155,go
156,nogo
157,go
158,go
159,nogo
160,nogo
161,nogo
162,go
163,go
164,go
165,nogo
166,nogo
167,go
168,nogo
169,go
170,go
171,go
172,go
173,go
174,nogo
175,nogo
176,go
177,nogo
178,nogo
179,go
180,nogo
181,nogo
182,nogo
183,go
184,nogo
185,nogo
186,go
187,go
188,go
189,go
190,go
191,nogo
192,nogo
193,go
194,nogo
195,go
196,go
197,go
198,go
199,nogo
200,nogo
201,nogo
202,go
203,nogo
204,go
205,nogo
206,nogo
207,nogo
208,go
209,go
210,go
211,nogo
212,nogo
213,nogo
214,go
215,nogo
216,nogo
217,go
218,nogo
219,go
220,go
221,go
222,go
223,nogo
224,go
225,go
226,nogo
227,go
228,go
229,go
230,nogo
231,nogo
232,go
233,go
234,go
235,go
236,go
237,go
238,nogo
239,go
240,nogo
241,nogo
242,nogo
243,go
244,go
245,nogo
246,go
247,nogo
248,nogo
249,nogo
250,nogo
251,nogo
252,nogo
253,nogo
254,nogo
255,nogo
256,go
257,nogo
258,nogo
259,go
260,go
261,go
262,go
263,go
264,nogo
265,nogo
266,nogo
267,go
268,go
269,nogo
270,nogo
271,nogo
272,go
273,nogo
274,nogo
275,go
276,go
277,nogo
278,nogo
279,go
280,nogo
281,go
282,nogo
283,go
284,nogo
285,go
286,go
287,nogo
288,nogo
289,nogo
290,nogo
291,go
292,go
293,go
294,nogo
295,nogo
296,go
297,go
298,go
299,nogo
300,go
301,nogo
302,go
303,go
304,go
305,nogo
306,nogo
307,go
308,go
309,go
310,go
311,go
312,nogo
313,go
314,nogo
315,go
316,go
317,go
318,nogo
319,nogo
320,nogo
321,nogo
322,go
323,go
324,go
325,go
326,nogo
327,go
328,nogo
329,go
330,nogo
331,go
332,go
333,go
334,nogo
335,go
336,go
337,go
338,go
339,nogo
340,nogo
341,go
342,go
343,go
344,go
345,go
346,nogo
347,go
348,go
349,nogo
350,nogo
351,nogo
352,nogo
353,nogo
354,nogo
355,go
356,go
357,nogo
358,go
359,go
360,go
361,go
362,nogo
363,go
364,go
365,nogo
366,nogo
367,nogo
368,nogo
369,go
370,go
371,nogo
372,go
373,go
374,go
375,nogo
376,nogo
377,go
378,nogo
379,nogo
380,go
381,go
382,go
383,nogo
384,nogo
385,go
386,go
387,go
388,go
389,go
390,go
391,nogo
392,nogo
393,go
394,nogo
395,go
396,nogo
397,go
398,go
399,nogo
400,nogo
401,go
402,go
403,go
404,nogo
405,nogo
406,go
407,nogo
408,nogo
409,nogo
410,go
411,nogo
412,go
413,nogo
414,go
415,nogo
416,go
417,nogo
418,go
419,go
420,nogo
421,go
422,nogo
423,go
424,nogo
425,nogo
426,go
427,nogo
428,go
429,nogo
430,go
431,nogo
432,nogo
433,nogo
434,go
435,go
436,go
437,go
438,go
439,nogo
440,nogo
441,go
442,go
443,go
444,go
445,go
446,nogo
447,nogo
448,nogo
449,nogo
450,go
451,go
452,go
453,nogo
454,go
455,go
456,nogo
457,nogo
458,go
459,nogo
460,go
461,go
462,go
463,nogo
464,nogo
465,nogo
466,go
467,nogo
468,nogo
469,go
470,go
471,go
472,nogo
473,go
474,go
475,go
476,nogo
477,nogo
478,nogo
479,nogo
480,nogo
481,nogo
482,nogo
483,go
484,nogo
485,go
486,nogo
487,go
488,go
489,go
490,go
491,go
492,nogo
493,go
494,go
495,go
496,go
497,go
498,nogo
499,go
500,go
501,nogo
502,go
503,nogo
504,go
505,nogo
506,go
507,nogo
508,go
509,go
510,nogo
511,go
512,nogo
513,go
514,go
515,nogo
516,go
517,go
518,nogo
519,go
520,nogo
521,go
522,go
523,nogo
524,go
525,nogo
526,go
527,go
528,go
529,nogo
530,nogo
531,nogo
532,nogo
533,go
534,go
535,nogo
536,go
537,go
538,go
539,go
540,go
541,nogo
542,nogo
543,nogo
544,go
545,go
546,nogo
547,nogo
548,nogo
549,nogo
550,nogo
551,nogo
552,nogo
553,nogo
554,nogo
555,nogo
556,nogo
557,go
558,go
559,go
560,nogo
561,nogo
562,nogo
563,nogo
564,go
565,go
566,go
567,nogo
568,go
569,go
570,go
571,go
572,go
573,nogo
574,nogo
575,nogo
576,nogo
577,go
578,go
579,go
580,nogo
581,go
582,go
583,nogo
584,nogo
585,nogo
586,nogo
587,go
588,go
589,go
590,nogo
591,go
592,nogo
593,nogo
594,go
595,go
596,go
597,nogo
598,go
599,nogo
600,nogo
601,go
602,nogo
603,go
604,go
605,nogo
606,go
607,go
608,nogo
609,nogo
610,nogo
611,go
612,nogo
613,nogo
614,nogo
615,go
616,go
617,nogo
618,nogo
619,go
620,nogo
621,nogo
622,nogo
623,nogo
624,go
625,nogo
626,nogo
627,go
628,go
629,nogo
630,nogo
631,nogo
632,go
633,go
634,nogo
635,go
636,go
637,go
638,go
639,go
640,go
641,go
642,nogo
643,go
644,nogo
645,go
646,nogo
647,nogo
648,nogo
649,nogo
650,nogo
651,go
652,go
653,nogo
654,nogo
655,go
656,nogo
657,go
658,nogo
659,go
660,go
661,go
662,go
