,0
0,0.123
1,0.117
2,0.177
3,0.397
4,0.17
5,0.133
6,0.203
7,0.08700000000000001
8,0.032
9,0.14100000000000001
10,0.033
11,0.3
12,0.099
13,0.068
14,0.125
15,0.155
16,0.069
17,0.192
18,0.04
19,0.226
20,0.061
21,0.189
22,0.08
23,0.185
24,0.067
25,0.148
26,0.107
27,0.23500000000000001
28,0.085
29,0.318
30,0.185
31,0.20500000000000002
32,0.083
33,0.216
34,0.184
35,0.153
36,0.157
37,0.277
38,0.146
39,0.12
40,0.034
41,0.099
42,0.276
43,0.125
44,0.298
45,0.17400000000000002
46,0.037
47,0.17500000000000002
48,0.099
49,0.14300000000000002
50,0.064
51,0.124
52,0.374
53,0.492
54,0.168
55,0.23600000000000002
56,0.139
57,0.253
58,0.153
59,0.077
60,0.041
61,0.18
62,0.194
63,0.163
64,0.28400000000000003
65,0.098
66,0.229
67,0.048
68,0.203
69,0.176
70,0.436
71,0.171
72,0.16
73,0.14300000000000002
74,0.125
75,0.099
76,0.12
77,0.171
78,0.091
79,0.114
80,0.057
81,0.146
82,0.07200000000000001
83,0.148
84,0.067
85,0.077
86,0.20600000000000002
87,0.147
88,0.243
89,0.028
90,0.148
91,0.079
92,0.165
93,0.318
94,0.099
95,0.137
96,0.147
97,0.04
98,0.152
99,0.183
100,0.268
101,0.42
102,0.109
103,0.14400000000000002
104,0.043000000000000003
105,0.211
106,0.271
107,0.109
108,0.17500000000000002
109,0.052000000000000005
110,0.133
111,0.14
112,0.095
113,0.067
114,0.117
115,0.28200000000000003
116,0.147
117,0.112
118,0.155
119,0.308
120,0.134
121,0.168
122,0.073
123,0.577
124,0.333
125,0.308
126,0.19
127,0.165
128,0.23900000000000002
129,0.227
130,0.47000000000000003
131,0.11800000000000001
132,0.108
133,0.247
134,0.20800000000000002
135,0.09
136,0.20600000000000002
137,0.074
138,0.13
139,0.365
140,0.648
141,0.227
142,0.403
143,0.248
144,0.171
145,0.259
146,0.053
147,0.441
148,0.198
149,0.109
150,0.20500000000000002
151,0.22
152,0.18
153,0.081
154,0.14100000000000001
155,0.223
156,0.34700000000000003
157,0.23900000000000002
158,0.066
159,0.098
160,0.117
161,0.201
162,0.113
163,0.246
164,0.214
165,0.092
166,0.193
167,0.084
168,0.112
169,0.449
170,0.6990000000000001
171,0.20600000000000002
172,0.41000000000000003
173,0.293
174,0.509
175,0.231
176,0.25
177,0.124
178,0.464
179,0.088
180,0.20600000000000002
181,0.667
182,0.323
183,0.264
184,0.201
185,0.085
186,0.074
187,0.051000000000000004
188,0.52
189,0.23700000000000002
190,0.489
191,0.054
192,0.085
193,0.20800000000000002
194,0.145
195,0.042
196,0.117
197,0.11800000000000001
198,0.09
199,0.113
200,0.136
201,0.182
202,0.248
203,0.181
204,0.067
205,0.20500000000000002
206,0.20700000000000002
207,0.264
208,0.242
209,1.0
210,0.306
211,0.218
212,0.069
213,0.361
214,0.184
215,0.163
216,0.224
217,0.217
218,0.33
219,0.302
220,0.113
221,0.177
222,0.145
223,0.20500000000000002
224,0.18
225,0.045
226,0.11800000000000001
227,0.117
228,0.082
229,0.22
230,0.079
231,0.14400000000000002
232,0.063
233,0.154
234,0.106
235,0.043000000000000003
236,0.08600000000000001
237,0.441
238,0.068
239,0.213
240,0.246
241,0.038
242,0.246
243,0.20700000000000002
244,0.042
245,0.052000000000000005
246,0.309
247,0.134
248,0.266
249,0.224
250,0.211
251,0.324
252,0.187
253,0.25
254,0.06
255,0.07200000000000001
256,0.089
257,0.23600000000000002
258,0.19
259,0.452
260,0.065
261,0.248
262,0.15
263,0.139
264,0.241
265,0.068
266,0.20700000000000002
267,0.262
268,0.14300000000000002
269,0.188
270,0.07100000000000001
271,0.044
272,0.114
273,0.133
274,0.14400000000000002
275,0.329
276,0.091
277,0.058
278,0.164
279,0.061
280,0.022
281,0.308
282,0.431
283,0.10300000000000001
284,0.37
285,0.049
286,0.049
287,0.229
288,0.251
289,0.124
290,0.139
291,0.178
292,0.262
293,0.276
294,0.212
295,0.126
296,0.132
297,0.171
298,0.402
299,0.178
300,0.05
301,0.243
302,0.191
303,0.10200000000000001
304,0.131
305,0.07200000000000001
306,0.14100000000000001
307,0.129
308,0.28500000000000003
309,0.059000000000000004
310,0.267
311,0.23700000000000002
312,0.177
313,0.41600000000000004
314,0.114
315,0.074
316,0.292
317,0.585
318,0.109
319,0.246
320,0.133
321,0.28500000000000003
322,0.297
323,0.047
324,0.159
325,0.215
326,0.032
327,0.17500000000000002
328,0.115
329,0.12
330,0.289
331,0.135
332,0.039
333,0.113
334,0.152
335,0.20700000000000002
336,0.28700000000000003
337,0.319
338,0.083
339,0.076
340,0.438
341,0.068
342,0.033
343,0.07
344,0.201
345,0.062
346,0.216
347,0.649
348,0.037
349,0.20600000000000002
350,0.129
351,0.187
352,0.223
353,0.331
354,0.198
355,0.341
356,0.078
357,0.099
358,0.37
359,0.155
360,0.111
361,0.07100000000000001
362,0.165
363,0.367
364,0.332
365,0.14100000000000001
366,0.177
367,0.296
368,0.154
369,0.181
370,0.34500000000000003
371,0.17400000000000002
372,0.234
373,0.073
374,0.34800000000000003
375,0.08600000000000001
376,0.081
377,0.076
378,0.106
379,0.309
380,0.593
381,0.10400000000000001
382,0.054
383,0.113
384,0.043000000000000003
385,0.266
386,0.146
387,0.135
388,0.14
389,0.08
390,0.08600000000000001
391,0.095
392,0.182
393,0.19
394,0.116
395,0.095
396,0.147
397,0.20800000000000002
398,0.077
399,0.114
400,0.11900000000000001
401,0.18
402,0.085
403,0.228
404,0.107
405,0.07100000000000001
406,0.09
407,0.17500000000000002
408,0.05
409,0.27
410,0.105
411,0.037
412,0.162
413,0.079
414,0.078
415,0.20500000000000002
416,0.298
417,0.038
418,0.161
419,0.073
420,0.298
421,0.088
422,0.047
423,0.125
424,0.022
425,0.116
426,0.226
427,0.17300000000000001
428,0.068
429,0.14200000000000002
430,0.056
431,0.216
432,0.134
433,0.211
434,0.241
435,0.167
436,0.37
437,0.189
438,0.046
439,0.202
440,0.076
441,0.247
442,0.454
443,0.07100000000000001
444,0.322
445,0.227
446,0.121
447,0.185
448,0.126
449,0.225
450,0.438
451,0.222
452,0.181
453,0.10200000000000001
454,0.20500000000000002
455,0.192
456,0.056
457,0.164
458,0.34700000000000003
459,0.064
460,0.3
461,0.128
462,0.178
463,0.12
464,0.126
465,0.231
466,0.151
467,0.14
468,0.243
469,0.077
470,0.111
471,0.051000000000000004
472,0.183
473,0.123
474,0.12
475,0.218
476,0.054
477,0.062
478,0.066
479,0.176
480,0.197
481,0.038
482,0.17300000000000001
483,0.299
484,0.039
485,0.078
486,0.183
487,0.093
488,0.078
489,0.301
490,0.291
491,0.38
492,0.28800000000000003
493,0.165
494,0.083
495,0.10200000000000001
496,0.114
497,0.289
498,0.421
499,0.19
500,0.14200000000000002
501,0.098
502,0.108
503,0.092
504,0.201
505,0.057
506,0.055
507,0.092
508,0.269
509,0.042
510,0.109
511,0.167
512,0.15
513,0.07200000000000001
514,0.081
515,0.491
516,0.20400000000000001
517,0.23
518,0.069
519,0.583
520,0.297
521,0.182
522,0.053
523,0.152
524,0.113
525,0.176
526,0.198
527,0.20600000000000002
528,0.165
529,0.212
530,0.079
531,0.5710000000000001
532,0.246
533,0.109
534,0.254
535,0.166
536,0.193
537,0.044
538,0.06
539,0.328
540,0.11
541,0.076
542,0.076
543,0.074
544,0.063
545,0.191
546,0.07200000000000001
547,0.445
548,0.138
549,0.539
550,0.137
551,0.182
552,0.07100000000000001
553,0.17300000000000001
554,0.341
555,0.365
556,0.579
557,0.333
558,0.225
559,0.124
560,0.06
561,0.327
562,0.358
563,0.357
564,0.138
565,0.157
566,0.278
567,0.117
568,0.2
569,0.269
570,0.333
571,0.396
572,0.243
573,0.193
574,0.132
575,0.342
576,0.054
577,0.246
578,0.191
579,0.076
580,0.055
581,0.032
582,0.109
583,0.243
584,0.23700000000000002
585,0.074
586,0.40700000000000003
587,0.169
588,0.076
589,0.132
590,0.073
591,0.061
592,0.192
593,0.293
594,0.079
595,0.033
596,0.303
597,0.25
598,0.066
599,0.296
600,0.212
601,0.044
602,0.047
603,0.433
604,0.313
605,0.10200000000000001
606,0.225
607,0.188
608,0.066
609,0.166
610,0.227
611,0.121
612,0.059000000000000004
613,0.311
614,0.11
615,0.244
616,0.167
617,0.07
618,0.28300000000000003
619,0.25
620,0.281
621,0.039
622,0.126
623,0.155
624,0.108
625,0.153
626,0.17200000000000001
627,0.055
628,0.038
629,0.335
630,0.111
631,0.024
632,0.081
633,0.156
634,0.233
635,0.149
636,0.229
637,0.32
638,0.079
639,0.20500000000000002
640,0.196
641,0.08
642,0.099
643,0.078
644,0.185
645,0.089
646,0.052000000000000005
647,0.077
648,0.044
649,0.251
650,0.224
651,0.194
652,0.274
653,0.251
654,0.17300000000000001
655,0.244
656,0.14300000000000002
657,0.096
658,0.164
659,0.122
660,0.156
661,0.418
662,0.16
663,0.115
664,0.07
665,0.168
666,0.255
667,0.248
668,0.067
669,0.029
670,0.07200000000000001
671,0.124
672,0.151
673,0.055
674,0.033
675,0.041
676,0.28200000000000003
677,0.062
678,0.217
679,0.056
680,0.374
681,0.088
682,0.105
683,0.096
684,0.088
685,0.223
686,0.10300000000000001
687,0.08600000000000001
688,0.149
689,0.312
690,0.20800000000000002
691,0.049
692,0.115
693,0.139
694,0.08600000000000001
695,0.191
696,0.081
697,0.249
698,0.453
699,0.10200000000000001
700,0.151
701,0.147
702,0.03
703,0.033
704,0.092
705,0.04
706,0.095
707,0.273
708,0.139
709,0.061
710,0.092
711,0.082
712,0.036000000000000004
713,0.353
714,0.073
715,0.294
716,0.073
717,0.054
718,0.052000000000000005
719,0.127
720,0.132
721,0.02
722,0.106
723,0.272
724,0.257
725,0.17400000000000002
726,0.23
727,0.18
728,0.241
729,0.093
730,0.11900000000000001
731,0.627
732,0.368
733,0.121
734,0.222
735,0.161
736,0.192
737,0.216
738,0.16
739,0.323
740,0.379
741,0.308
742,0.113
743,0.248
744,0.10200000000000001
745,0.124
746,0.154
747,0.358
748,0.085
749,0.221
750,0.111
751,0.096
752,0.1
753,0.089
754,0.177
755,0.129
756,0.18
757,0.152
758,0.129
759,0.185
760,0.067
761,0.328
762,0.07100000000000001
763,0.181
764,0.132
765,0.167
766,0.075
767,0.16
768,0.202
769,0.13
770,0.484
771,0.128
772,0.07200000000000001
773,0.188
774,0.153
775,0.211
776,0.134
777,0.161
778,0.076
779,0.136
780,0.20400000000000001
781,0.34400000000000003
782,0.24
783,0.084
784,0.129
785,0.131
786,0.065
787,0.29
788,0.135
789,0.18
790,0.20800000000000002
791,0.273
792,0.09
793,0.061
794,0.057
795,0.28
796,0.062
797,0.11900000000000001
798,0.382
799,0.066
800,0.123
801,0.1
802,0.051000000000000004
803,0.165
804,0.07
805,0.17400000000000002
806,0.07200000000000001
807,0.148
808,0.112
809,0.232
810,0.138
811,0.10400000000000001
812,0.378
813,0.121
814,0.116
815,0.2
816,0.108
817,0.127
818,0.274
819,0.088
820,0.162
821,0.159
822,0.095
823,0.14
824,0.155
825,0.146
826,0.046
827,0.361
828,0.068
829,0.097
830,0.129
831,0.149
832,0.242
833,0.217
834,0.065
835,0.05
836,0.41100000000000003
837,0.367
838,0.17500000000000002
839,0.12
840,0.198
841,0.11
842,0.181
843,0.544
844,0.275
845,0.28300000000000003
846,0.032
847,0.126
848,0.20600000000000002
849,0.269
850,0.155
851,0.352
852,0.106
853,0.084
854,0.251
855,0.276
856,0.168
857,0.065
858,0.228
859,0.263
860,0.052000000000000005
861,0.126
862,0.027
863,0.07100000000000001
864,0.15
865,0.091
866,0.224
867,0.34400000000000003
868,0.12
869,0.11900000000000001
870,0.113
871,0.07200000000000001
872,0.10400000000000001
873,0.19
874,0.21
875,0.463
876,0.138
877,0.275
878,0.23500000000000001
879,0.139
880,0.108
881,0.107
882,0.08600000000000001
883,0.166
884,0.176
885,0.062
886,0.11
887,0.057
888,0.046
889,0.092
890,0.112
891,0.14100000000000001
892,0.519
893,0.202
894,0.056
895,0.23800000000000002
896,0.105
897,0.108
898,0.258
899,0.301
900,0.10300000000000001
901,0.122
902,0.29
903,0.146
904,0.099
905,0.25
906,0.329
907,0.075
908,0.132
909,0.094
910,0.094
911,0.20800000000000002
912,0.132
913,0.055
914,0.17200000000000001
915,0.135
916,0.062
917,0.491
918,0.107
919,0.291
920,0.122
921,0.155
922,0.162
923,0.116
924,0.057
925,0.027
926,0.066
927,0.243
928,0.159
929,0.466
930,0.182
931,0.153
932,0.281
933,0.116
934,0.17
935,0.113
936,0.183
937,0.312
938,0.191
939,0.242
940,0.131
941,0.03
942,0.117
943,0.115
944,0.255
945,0.193
946,0.652
947,0.17300000000000001
948,0.097
949,0.117
950,0.109
951,0.055
952,0.253
953,0.133
954,0.054
955,0.128
956,0.202
957,0.109
958,0.07200000000000001
959,0.179
960,0.232
961,0.085
962,0.322
963,0.114
964,0.322
965,0.063
966,0.20500000000000002
967,0.10200000000000001
968,0.11800000000000001
969,0.179
970,0.137
971,0.06
972,0.383
973,0.109
974,0.135
975,0.10400000000000001
976,0.099
977,0.12
978,0.05
979,0.257
980,0.338
981,0.128
982,0.111
983,0.181
984,0.176
985,0.224
986,0.157
987,0.177
988,0.05
989,0.168
990,0.201
991,0.14100000000000001
992,0.096
993,0.195
994,0.157
995,0.069
996,0.216
997,0.109
998,0.099
999,0.168
